,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
0,Hoffenheim,W,2,2.65,16,6,3,1.98,17726
1,VfB Stuttgart,L,1,1.84,13,4,0,0.77,17726
0,Freiburg,W,3,3.67,16,5,3,2.61,17727
1,Hertha Berlin,L,0,1.55,18,2,0,0.29,17727
0,Borussia M.Gladbach,D,2,2.76,23,10,1,2.40,17728
1,Wolfsburg,D,2,1.27,6,2,1,0.43,17728
0,Union Berlin,W,3,0.88,6,3,3,1.49,17729
1,Mainz 05,L,1,0.76,15,1,0,1.16,17729
0,Bayer Leverkusen,W,3,3.05,21,9,3,2.87,17730
1,Arminia Bielefeld,L,0,0.31,9,3,0,0.08,17730
0,Eintracht Frankfurt,L,0,1.19,6,1,0,0.52,17731
1,Bayern Munich,W,1,2.61,21,9,3,2.31,17731
0,Bochum,W,2,1.66,14,7,3,2.35,17732
1,Greuther Fuerth,L,1,0.58,9,2,0,0.44,17732
0,FC Cologne,L,0,1.22,10,4,0,0.37,17733
1,Hoffenheim,W,1,2.87,13,3,3,2.49,17733
0,Arminia Bielefeld,L,0,0.14,5,1,0,0.95,17734
1,Augsburg,W,1,0.31,7,1,3,1.39,17734
0,Hertha Berlin,L,1,0.48,10,4,0,0.59,17735
1,Eintracht Frankfurt,W,4,1.37,12,5,3,2.15,17735
0,Mainz 05,L,0,0.78,11,1,0,0.82,17736
1,Borussia Dortmund,W,1,1.39,11,4,3,1.90,17736
0,VfB Stuttgart,W,3,2.37,19,7,3,2.18,17737
1,Borussia M.Gladbach,L,2,1.21,8,3,0,0.61,17737
0,Wolfsburg,W,1,0.41,8,3,3,0.43,17738
1,Union Berlin,L,0,1.56,19,4,0,2.36,17738
0,RasenBallsport Leipzig,D,1,0.75,14,6,1,1.53,17739
1,Freiburg,D,1,0.48,4,3,1,1.05,17739
0,Bayern Munich,D,1,1.67,19,5,1,0.97,17740
1,Bayer Leverkusen,D,1,2.26,9,2,1,1.81,17740
0,Greuther Fuerth,L,1,0.38,7,1,0,0.25,17741
1,RasenBallsport Leipzig,W,6,2.14,12,7,3,2.62,17741
0,Augsburg,W,2,1.93,11,4,3,1.45,17742
1,Mainz 05,L,1,1.85,16,3,0,1.28,17742
0,Hoffenheim,D,1,2.03,9,6,1,0.33,17743
1,Bayern Munich,D,1,3.99,18,8,1,2.55,17743
0,Freiburg,W,3,1.54,15,8,3,1.88,17744
1,Wolfsburg,L,2,0.91,12,5,0,0.86,17744
0,Borussia M.Gladbach,W,2,1.76,13,5,3,2.47,17745
